invoice_index,Document Number,Document Date,Account No.,Payment Reference,Payment Terms,GBP
54,UMAR123456,16/12/22,110460,UMAR123456 / 110460,90 days after month end,"10,031.74"
55,UMAR234567,17/10/21,156460,UMAR234567 / 156460,90 days,"10,031.74"
56,UMAR199552,28/11/22,101572,UMAR199552 / 101572,30 days net,"3,828.71"
57,UMAR189937,16/12/22,113460,UMAR189937 / 113460,90 days after month end,"11,031.74"
58,UMAR199654,13/12/22,112715,UMAR199654 / 112715,30 days nett monthly,"6,742.62"
59,UMAR197860,16/12/22,109533,UMAR197860 / 109533,60 Days Date of Invoice,435.88
60,UMAR199107,28/11/22,100172,UMAR199107 / 100172,30 days net,"3,828.71"
61,UMAR197013,02/11/22,111752,UMAR197013 / 111752,90 days after month end,"5,378.03"
62,UMAR183435,07/02/22,108743,UMAR183435 / 108743,Advance payment,301.79
63,UMAR195847,19/09/22,143212,UMAR195847 / 143212,60 Days Date of Invoice,"10,901.74"
